"pairing_id","duty_id","duty_num","id"
"10","10","1","2"
"1","1","1","111111"
"11","11","1","3"
"12","12","1","4"
"13","13","1","5"
"14","14","1","6"
"15","15","1","7"
"16","16","1","8"
"17","17","1","9"
"18","18","1","10"
"19","19","1","11"
"20","20","1","12"
"21","21","1","13"
"22","22","1","14"
"23","23","1","15"
"24","24","1","16"
"25","25","1","17"
"26","26","1","18"
"27","27","1","19"
"28","28","1","20"
"29","29","1","21"
"30","30","1","22"
"31","31","1","23"
"32","32","1","24"
"33","33","1","25"
"34","34","1","26"
"35","35","1","27"
"36","36","1","28"
"37","37","1","29"
"38","38","1","30"
"39","39","1","31"
"40","40","1","32"
"41","41","1","33"
"42","42","1","34"
"43","43","1","35"
"44","44","1","36"
"45","45","1","37"
"46","46","1","38"
"47","47","1","39"
"48","48","1","40"
"49","49","1","41"
"50","50","1","42"
"51","51","1","43"
"52","52","1","44"
"53","53","1","45"
"54","54","1","46"
"55","55","1","47"
"56","56","1","48"
"57","57","1","49"
"58","58","1","50"
"59","59","1","51"
"60","60","1","52"
"61","61","1","53"
"62","62","1","54"
"63","63","1","55"
"64","64","1","56"
"65","65","1","57"
"66","66","1","58"
"67","67","1","59"
"68","68","1","60"
"69","69","1","61"
"70","70","1","62"
"71","71","1","63"
"72","72","1","64"
"73","73","1","65"
"74","74","1","66"
"75","75","1","67"
"76","76","1","68"
"77","77","1","69"
"78","78","1","70"
"79","79","1","71"
"80","80","1","72"
"81","81","1","73"
"82","82","1","74"
"83","83","1","75"
"84","84","1","76"
"85","85","1","77"
"86","86","1","78"
"87","87","1","79"
"88","88","1","80"
"89","89","1","81"
"90","90","1","82"
"91","91","1","83"
"92","92","1","84"
"93","93","1","85"
"94","94","1","86"
"95","95","1","87"
"96","96","1","88"
"97","97","1","89"
"98","98","1","90"
"99","99","1","91"
"100","100","1","92"
"101","101","1","93"
"102","102","1","94"
"103","103","1","95"
"104","104","1","96"
"105","105","1","97"
"106","106","1","98"
"107","107","1","99"
"108","108","1","100"
"109","109","1","101"
"110","110","1","102"
"111","111","1","103"
"116","116","1","106"
"116","116","1","107"
"122","122","1","108"
"123","123","1","109"
"147","147","1","118"
"148","148","1","119"
"159","159","1","121"
"160","160","1","122"
"163","163","1","125"
"165","165","1","126"
"166","166","1","127"
"167","167","1","128"
"168","168","1","129"
"169","169","1","130"
"170","170","1","131"
"171","171","1","132"
"172","172","1","133"
"173","173","1","134"
"181","181","1","142"
"182","182","1","143"
"183","183","1","144"
"184","184","1","145"
"196","196","1","156"
"197","197","1","157"
"200","200","1","159"
"202","202","1","160"
"203","203","1","161"
"204","204","1","162"
"205","205","1","163"
"206","207","1","164"
"NULL","199","1","158"
"199","199","1","166"
"208","209","1","167"
"209","210","1","168"
"210","212","1","169"
"211","213","1","170"
"212","214","1","171"
"213","219","1","172"
"215","221","1","173"
"217","223","1","174"
"218","224","1","175"
"219","225","1","176"
"220","226","1","177"
"221","227","1","178"
"222","228","1","179"
"223","229","1","180"
"224","230","1","181"
"225","231","1","182"
"226","232","1","183"
"227","233","1","184"
"228","234","1","185"
"230","236","1","186"
"231","237","1","187"
"232","238","1","188"
"236","242","1","189"
"237","243","1","190"
"238","244","1","191"
"239","245","1","192"
"241","247","1","193"
"244","250","1","194"
"246","252","1","196"
"247","253","1","197"
"251","257","1","198"
"252","258","1","199"
"253","259","1","200"
"258","264","1","201"
"262","268","1","202"
"268","274","1","203"
"271","277","1","204"
"272","278","1","205"
"274","280","1","206"
"276","282","1","207"
"277","283","1","208"
"278","284","1","209"
"279","285","1","210"
"280","286","1","211"
"281","287","1","212"
"282","288","1","213"
"283","289","1","214"
"284","290","1","215"
"285","291","1","216"
"286","292","1","217"
"287","293","1","218"
"288","294","1","219"
"289","295","1","220"
"290","296","1","221"
"291","297","1","222"
"292","298","1","223"
"293","299","1","224"
"294","300","1","225"
"295","301","1","226"
"296","302","1","227"
"297","303","1","228"
"298","304","1","229"
"299","305","1","230"
"300","306","1","231"
"326","332","1","246"
"327","333","1","247"
"329","335","1","248"
"330","336","1","249"
"332","338","1","250"
"333","339","1","251"
"339","345","1","252"
"341","347","1","253"
"342","348","1","254"
"343","349","1","255"
"344","350","1","256"
"345","351","1","257"
"350","356","1","258"
"351","357","1","259"
"354","360","1","260"
"355","361","1","261"
"356","362","1","262"
"357","363","1","263"
"358","364","1","264"
"359","365","1","265"
"360","366","1","266"
"361","367","1","267"
"362","368","1","268"
"363","369","1","269"
"364","370","1","270"
"365","371","1","271"
"366","372","1","272"
"367","373","1","273"
"368","374","1","274"
"369","375","1","275"
"370","376","1","276"
"371","377","1","277"
"372","378","1","278"
"373","379","1","279"
"374","380","1","280"
"375","381","1","281"
"376","382","1","282"
"377","383","1","283"
"378","384","1","284"
"NULL","411","1","489"
"NULL","507","1","490"
"NULL","386","1","285"
"380","386","1","286"
"381","387","1","287"
"382","388","1","288"
"383","389","1","289"
"384","390","1","290"
"385","391","1","291"
"386","392","1","292"
"456","526","1","498"
"NULL","251","1","195"
"245","251","1","295"
"457","527","1","499"
"NULL","546","1","517"
"387","395","1","298"
"388","396","1","299"
"390","398","1","300"
"392","400","1","301"
"393","401","1","302"
"396","404","1","303"
"397","405","1","304"
"398","406","1","305"
"401","409","1","306"
"402","410","1","307"
"NULL","411","1","445"
"NULL","567","1","555"
"486","567","1","556"
"NULL","411","1","308"
"NULL","569","1","557"
"407","433","1","348"
"NULL","411","1","492"
"NULL","507","1","493"
"NULL","432","1","347"
"NULL","570","1","561"
"NULL","528","1","500"
"488","570","1","562"
"NULL","432","1","359"
"NULL","439","2","360"
"NULL","528","1","501"
"NULL","572","1","563"
"NULL","432","1","361"
"NULL","439","2","362"
"NULL","528","1","502"
"408","444","1","374"
"409","449","1","385"
"410","450","1","386"
"489","572","1","565"
"458","528","1","503"
"NULL","411","1","345"
"458","529","2","504"
"460","533","1","511"
"NULL","411","1","396"
"468","541","1","512"
"NULL","411","1","409"
"469","542","1","513"
"NULL","411","1","417"
"NULL","543","1","514"
"NULL","432","1","363"
"NULL","411","1","429"
"490","573","1","567"
"470","543","1","515"
"490","574","2","568"
"NULL","411","1","443"
"472","546","1","518"
"484","563","1","546"
"NULL","548","1","520"
"NULL","491","1","447"
"NULL","549","1","522"
"477","552","1","528"
"NULL","491","1","448"
"NULL","492","2","449"
"NULL","491","1","450"
"NULL","553","1","530"
"NULL","491","1","451"
"NULL","493","2","452"
"430","491","1","453"
"432","495","1","454"
"435","498","1","455"
"436","499","1","456"
"NULL","553","1","531"
"NULL","554","2","532"
"NULL","500","1","457"
"478","553","1","533"
"437","500","1","458"
"437","501","2","459"
"478","554","2","534"
"NULL","452","1","389"
"484","564","2","547"
"411","452","1","460"
"411","502","2","461"
"441","506","1","462"
"NULL","556","1","536"
"NULL","507","1","463"
"480","556","1","537"
"480","557","2","538"
"482","561","1","541"
"NULL","562","1","543"
"NULL","565","1","548"
"NULL","565","1","549"
"NULL","565","1","550"
"NULL","566","2","551"
"485","565","1","552"
"485","566","2","553"
"NULL","567","1","554"
"NULL","507","1","471"
"NULL","507","1","464"
"NULL","508","2","465"
"403","411","1","495"
"442","507","1","496"
"NULL","569","1","558"
"NULL","507","1","466"
"NULL","508","2","467"
"NULL","509","3","468"
"NULL","530","1","505"
"NULL","569","1","559"
"NULL","507","1","469"
"NULL","508","2","470"
"487","569","1","560"
"NULL","530","1","506"
"NULL","531","2","507"
"NULL","510","1","472"
"NULL","572","1","564"
"NULL","573","1","566"
"NULL","530","1","508"
"NULL","510","1","473"
"NULL","511","2","474"
"459","530","1","509"
"459","532","2","510"
"471","544","1","516"
"473","547","1","519"
"NULL","510","1","475"
"NULL","511","2","476"
"NULL","512","3","477"
"474","548","1","521"
"475","549","1","523"
"NULL","510","1","478"
"NULL","511","2","479"
"NULL","550","1","524"
"NULL","550","1","525"
"NULL","510","1","480"
"NULL","511","2","481"
"476","550","1","526"
"476","551","2","527"
"NULL","553","1","529"
"NULL","510","1","482"
"NULL","511","2","483"
"NULL","513","3","484"
"479","555","1","535"
"443","510","1","485"
"443","511","2","486"
"444","514","1","487"
"446","516","1","488"
"NULL","559","1","539"
"481","559","1","540"
"NULL","562","1","542"
"483","562","1","544"
"NULL","563","1","545"
